date	co	local	party	score
1987/12	13	서울	여당	1,682,824
1987/12	13	서울	야당	1,637,347
1987/12	13	서울	기타	2,298,558
1987/12	13	인천	여당	326,186
1987/12	13	인천	야당	248,604
1987/12	13	인천	기타	254,070
1987/12	13	경기	여당	1,204,235
1987/12	13	경기	야당	800,274
1987/12	13	경기	기타	900,814
1987/12	13	강원	여당	546,569
1987/12	13	강원	야당	240,585
1987/12	13	강원	기타	134,060
1987/12	13	충남	여당	402,491
1987/12	13	충남	야당	246,527
1987/12	13	충남	기타	885,888
1987/12	13	충북	여당	355,222
1987/12	13	충북	야당	213,851
1987/12	13	충북	기타	188,384
1987/12	13	광주	여당	22,943
1987/12	13	광주	야당	2,471
1987/12	13	광주	기타	450,739
1987/12	13	전남	여당	119,229
1987/12	13	전남	야당	16,826
1987/12	13	전남	기타	132,3815
1987/12	13	전북	여당	160,760
1987/12	13	전북	야당	17,130
1987/12	13	전북	기타	959,085
1987/12	13	부산	여당	640,622
1987/12	13	부산	야당	1,117,01
1987/12	13	부산	기타	1,242,994
1987/12	13	경남	여당	792,757
1987/12	13	경남	야당	987,042
1987/12	13	경남	기타	145,613
1987/12	13	대구	여당	800,363
1987/12	13	대구	야당	274,880
1987/12	13	대구	기타	56,835
1987/12	13	경북	여당	1,108,035
1987/12	13	경북	야당	470,189
1987/12	13	경북	기타	90,795
1987/12	13	제주	여당	120,502
1987/12	13	제주	야당	64,844
1987/12	13	제주	기타	56,752
