,OPR,RPR,TS,co,local,total,year,OPR_P,RPR_P,ETC_P
0,3227639,3024572,75.8,18,서울,6276699,2014,0.5142255507233977,0.48187303549206356,0.0039014137845387875
1,794213,852600,75.8,18,인천,1652966,2014,0.48047751738390265,0.5158000830023122,0.0037223996137851767
2,3442084,3528915,75.8,18,경기,6996723,2014,0.4919565916787044,0.5043668300145654,0.0036765783067301827
3,340870,562876,75.8,18,강원,908254,2014,0.375302503484708,0.6197341272375348,0.00496336927775709
4,30787,33587,75.8,18,세종,64697,2014,0.4758644141150285,0.5191430823685796,0.0049925035163918
5,448310,450576,75.8,18,대전,901878,2014,0.4970849715815221,0.4995975065363608,0.0033175218821170915
6,497630,658928,75.8,18,충남,1162936,2014,0.42790832857526123,0.5666072767546967,0.005484394670042025
7,398907,518442,75.8,18,충북,922053,2014,0.4326291438778465,0.5622691971068908,0.005101659015262605
8,823737,69574,75.8,18,광주,895586,2014,0.9197743153644653,0.07768544841031459,0.0025402362252201494
9,1038347,116296,75.8,18,전남,1162959,2014,0.892849189008383,0.10000008598755417,0.007150725004062886
10,980322,150315,75.8,18,전북,1136575,2014,0.8625229307348833,0.13225260101621097,0.005224468248905767
11,882511,1324159,75.8,18,부산,2213405,2014,0.39871193929714627,0.5982452375412544,0.0030428231615993173
12,275451,413977,75.8,18,울산,692433,2014,0.39780166456538035,0.5978585653774444,0.00433977005717523
13,724896,1259174,75.8,18,경남,1994771,2014,0.36339810434380687,0.6312373701041373,0.005364525552055799
14,309034,1267789,75.8,18,대구,1581840,2014,0.1953636271683609,0.8014647499114955,0.003171622920143613
15,316659,1375164,75.8,18,경북,1701511,2014,0.18610458586515163,0.8082016513557656,0.005693762779082734
16,161235,166184,75.8,18,제주,329335,2014,0.48957748189533457,0.5046047337817117,0.005817784322953767
17,89192,67319,75.8,18,재외국민,158196,2014,0.563806923057473,0.4255417330400263,0.010651343902500665
0,2689162,1237812,63.0,17,서울,5051369,2007,0.5323630089189683,0.24504485813647744,0.22259213294455427
1,593283,286565,63.0,17,인천,1205357,2007,0.4922052138909883,0.23774284299174436,0.2700519431172673
