,date,co,local,party,score
0,2014/12,18,서울,여당,3024572
1,2014/12,18,서울,야당,3227639
2,2014/12,18,서울,기타,24488
3,2014/12,18,인천,여당,852600
4,2014/12,18,인천,야당,794213
5,2014/12,18,인천,기타,6153
6,2014/12,18,경기,여당,3528915
7,2014/12,18,경기,야당,3442084
8,2014/12,18,경기,기타,25724
9,2014/12,18,강원,여당,562876
10,2014/12,18,강원,야당,340870
11,2014/12,18,강원,기타,4508
12,2014/12,18,세종,여당,33587
13,2014/12,18,세종,야당,30787
14,2014/12,18,세종,기타,323
15,2014/12,18,대전,여당,450576
16,2014/12,18,대전,야당,448310
17,2014/12,18,대전,기타,2992
18,2014/12,18,충남,여당,658928
19,2014/12,18,충남,야당,497630
20,2014/12,18,충남,기타,6378
21,2014/12,18,충북,여당,518442
22,2014/12,18,충북,야당,398907
23,2014/12,18,충북,기타,4704
24,2014/12,18,광주,여당,69574
25,2014/12,18,광주,야당,823737
26,2014/12,18,광주,기타,2275
27,2014/12,18,전남,여당,116296
28,2014/12,18,전남,야당,1038347
29,2014/12,18,전남,기타,8316
30,2014/12,18,전북,여당,150315
31,2014/12,18,전북,야당,980322
32,2014/12,18,전북,기타,5938
33,2014/12,18,부산,여당,1324159
34,2014/12,18,부산,야당,882511
35,2014/12,18,부산,기타,6735
36,2014/12,18,울산,여당,413977
37,2014/12,18,울산,야당,275451
38,2014/12,18,울산,기타,3005
39,2014/12,18,경남,여당,1259174
40,2014/12,18,경남,야당,724896
41,2014/12,18,경남,기타,10701
42,2014/12,18,대구,여당,1267789
43,2014/12,18,대구,야당,309034
44,2014/12,18,대구,기타,5017
45,2014/12,18,경북,여당,1375164
46,2014/12,18,경북,야당,316659
47,2014/12,18,경북,기타,9688
48,2014/12,18,제주,여당,166184
49,2014/12,18,제주,야당,161235
50,2014/12,18,제주,기타,1916
51,2014/12,18,재외,여당,67319
52,2014/12,18,재외,야당,89192
53,2014/12,18,재외,기타,1685
0,2009/12,18,서울,여당,3024582
1,2009/12,18,서울,야당,3227649
2,2009/12,18,서울,기타,24498
3,2009/12,18,인천,여당,852610
4,2009/12,18,인천,야당,794223
5,2009/12,18,인천,기타,6163
6,2009/12,18,경기,여당,3528925
7,2009/12,18,경기,야당,3442094
8,2009/12,18,경기,기타,25734
9,2009/12,18,강원,여당,562886
10,2009/12,18,강원,야당,340880
11,2009/12,18,강원,기타,4518
12,2009/12,18,세종,여당,33597
13,2009/12,18,세종,야당,30797
14,2009/12,18,세종,기타,333
15,2009/12,18,대전,여당,450586
16,2009/12,18,대전,야당,448320
17,2009/12,18,대전,기타,3002
18,2009/12,18,충남,여당,658938
19,2009/12,18,충남,야당,497640
20,2009/12,18,충남,기타,6388
21,2009/12,18,충북,여당,518452
22,2009/12,18,충북,야당,398917
23,2009/12,18,충북,기타,4714
24,2009/12,18,광주,여당,69584
25,2009/12,18,광주,야당,823747
26,2009/12,18,광주,기타,2285
27,2009/12,18,전남,여당,116306
28,2009/12,18,전남,야당,1038357
29,2009/12,18,전남,기타,8326
30,2009/12,18,전북,여당,150325
31,2009/12,18,전북,야당,980332
32,2009/12,18,전북,기타,5948
33,2009/12,18,부산,여당,1324169
34,2009/12,18,부산,야당,882521
35,2009/12,18,부산,기타,6745
36,2009/12,18,울산,여당,413987
37,2009/12,18,울산,야당,275461
38,2009/12,18,울산,기타,3015
39,2009/12,18,경남,여당,1259184
40,2009/12,18,경남,야당,724906
41,2009/12,18,경남,기타,10711
42,2009/12,18,대구,여당,1267799
43,2009/12,18,대구,야당,309044
44,2009/12,18,대구,기타,5027
45,2009/12,18,경북,여당,1375174
46,2009/12,18,경북,야당,316669
47,2009/12,18,경북,기타,9698
48,2009/12,18,제주,여당,166194
49,2009/12,18,제주,야당,161245
50,2009/12,18,제주,기타,1926
51,2009/12,18,재외,여당,67329
52,2009/12,18,재외,야당,89202
53,2009/12,18,재외,기타,1695
