date	co	TS	local	RPR	OPR	total
1997/12	15	80.7	서울	2,394,309	2,627,308	5,854,773
1997/12	15	80.7	인천	470,560	497,839	1,292,611
1997/12	15	80.7	경기	1,612,108	1,781,577	4,535,524
1997/12	15	80.7	강원	358,921	197,438	830,943
1997/12	15	80.7	대전	199,266	307,493	682,893
1997/12	15	80.7	충남	235,457	483,093	1,001,198
1997/12	15	80.7	충북	243,310	295,666	789,816
1997/12	15	80.7	광주	13,294	754,159	775,199
1997/12	15	80.7	전남	41,534	1,231,726	1,301,836
1997/12	15	80.7	전북	53,124	1,078,957	1,169,189
1997/12	15	80.7	부산	1,117,069	320,178	2,094,406
1997/12	15	80.7	울산	268,998	80,751	523,763
1997/12	15	80.7	대구	965,907	166,576	1,329,088
1997/12	15	80.7	경남	908,808	182,102	1,648,014
1997/12	15	80.7	경북	953,360	210,403	1,539,608
1997/12	15	80.7	제주	100,103	111,009	273,577
