date	co	TS	local	OPR	RPR	total
2002/12	16	70.8	서울	2,447,376	2,792,957	5,443,990
2002/12	16	70.8	인천	547,205	611,786	1,227,816
2002/12	16	70.8	경기	2,120,191	2,430,193	4,798,006
2002/12	16	70.8	강원	400,405	316,004	762,937
2002/12	16	70.8	대전	266,760	369,046	669,846
2002/12	16	70.8	충남	375,110	474,531	909,818
2002/12	16	70.8	충북	311,044	365,623	725,162
2002/12	16	70.8	광주	26,869	715,181	751,416
2002/12	16	70.8	전남	53,074	1,070,506	1,146,320
2002/12	16	70.8	전북	65,334	966,053	1,054,800
2002/12	16	70.8	부산	1,314,274	587,946	1,969,073
2002/12	16	70.8	울산	267,737	178,584	506,322
2002/12	16	70.8	경남	1,083,564	434,642	1,604,744
2002/12	16	70.8	대구	1,002,164	240,745	1,288,909
2002/12	16	70.8	경북	1,056,446	311,358	1,437,938
2002/12	16	70.8	제주	105,744	148,423	268,227
